--- 键盘类设备 ---
PS/2 标准键盘 | i8042prt | ACPI\MSFT0001\4&E006DBE&0
HID Keyboard Device | kbdhid | HID\HID_DEVICE_SYSTEM_VHF&COL01\2&1857AA18&0&0000
HID Keyboard Device | kbdhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL04\A&3648C7B&0&0003
HID Keyboard Device | kbdhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL01\A&3648C7B&0&0000
HID Keyboard Device | kbdhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&012717_PID&32B8_REV&00A4_C05D39C2D9DB\A&200BF842&0&0000
--- VID 0232c2 ---
符合蓝牙低能耗 GATT 的 HID 设备 | HIDClass | mshidumdf | BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&001B
蓝牙 LE 通用属性服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&0017
通用属性配置文件 | Bluetooth | UmPass | BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&0008
通用访问配置文件 | Bluetooth | UmPass | BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&0001
蓝牙 LE 通用属性服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000FE59-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&0047
符合蓝牙低能耗 GATT 的 HID 设备 | HIDClass | mshidumdf | BTHLEDEVICE\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&001B
通用属性配置文件 | Bluetooth | UmPass | BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&0008
蓝牙 LE 通用属性服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000FE59-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&002F
蓝牙 LE 通用属性服务 | Bluetooth | UmPass | BTHLEDEVICE\{2EB70001-C5F5-4F60-9FB8-838830DAEA50}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&0038
设备信息服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&000C
HID-compliant mouse | Mouse | mouhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL06\A&3648C7B&0&0005
符合 HID 标准的用户控制设备 | HIDClass |  | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL05\A&3648C7B&0&0004
HID Keyboard Device | Keyboard | kbdhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL04\A&3648C7B&0&0003
符合 HID 标准的系统控制器 | HIDClass |  | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL03\A&3648C7B&0&0002
符合 HID 标准的用户控制设备 | HIDClass |  | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL02\A&3648C7B&0&0001
蓝牙 LE 通用属性服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&0017
HID Keyboard Device | Keyboard | kbdhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979&COL01\A&3648C7B&0&0000
通用访问配置文件 | Bluetooth | UmPass | BTHLEDEVICE\{00001800-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C0539BCB6979\9&1F94FFFE&0&0001
符合 HID 标准的用户控制设备 | HIDClass |  | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0&COL02\A&F946C6F&0&0001
HID-compliant mouse | Mouse | mouhid | HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0&COL01\A&F946C6F&0&0000
设备信息服务 | Bluetooth | UmPass | BTHLEDEVICE\{0000180A-0000-1000-8000-00805F9B34FB}_DEV_VID&0232C2_PID&6621_REV&0001_C053A1AE14F0\9&24426BE3&0&000C
